winner_country,country_home,home_country_weighted_score,country_away,away_country_weighted_score,home rank,away rank
Netherlands,Gibraltar,0.44775,Netherlands,0.6495000000000002,0.44775,0.6495000000000002
N/A,Turkey,0.6971250000000001,Latvia,0.465375,0.6971250000000001,0.465375
Cyprus,Cyprus,0.55225,Slovenia,0.49512500000000004,0.55225,0.49512500000000004
Croatia,Croatia,0.6495000000000002,Malta,0.44775,0.6495000000000002,0.44775
Slovakia,Slovakia,0.6110000000000001,Russia,0.5545,0.6110000000000001,0.5545
Switzerland,Switzerland,0.8310000000000003,Finland,0.43949999999999995,0.8310000000000003,0.43949999999999995
Spain,Spain,0.7045000000000002,Kosovo,0.44525,0.7045000000000002,0.44525
N/A,Greece,0.495125,Georgia,0.40737499999999993,0.495125,0.40737499999999993
Italy,Lithuania,0.38749999999999996,Italy,0.8200000000000003,0.38749999999999996,0.8200000000000003
France,Bosnia and Herzegovina,0.44499999999999995,France,0.7100000000000002,0.44499999999999995,0.7100000000000002
N/A,Ukraine,0.4975,Kazakhstan,0.45249999999999996,0.4975,0.45249999999999996
Scotland,Scotland,0.59225,Faroe Islands,0.40262499999999996,0.59225,0.40262499999999996
Denmark,Austria,0.5345000000000001,Denmark,0.8410000000000003,0.5345000000000001,0.8410000000000003
England,England,0.8515000000000003,Poland,0.52925,0.8515000000000003,0.52925
Hungary,Andorra,0.3526249999999999,Hungary,0.6947500000000002,0.3526249999999999,0.6947500000000002
Albania,San Marino,0.3553749999999999,Albania,0.6342500000000001,0.3553749999999999,0.6342500000000001
Armenia,Armenia,0.6040000000000001,Romania,0.488,0.6040000000000001,0.488
North Macedonia,Germany,0.6615000000000002,North Macedonia,0.5670000000000001,0.6615000000000002,0.5670000000000001
N/A,Ukraine,0.497625,Bahrain,0.49987499999999996,0.497625,0.49987499999999996
Turkey,Turkey,0.8065875000000001,Azerbaijan,0.34276874999999984,0.8065875000000001,0.34276874999999984
Italy,Italy,0.9375375000000004,San Marino,0.29660624999999985,0.9375375000000004,0.29660624999999985
Switzerland,Switzerland,0.9641000000000004,United States,0.43344999999999995,0.9641000000000004,0.43344999999999995
N/A,Turkey,0.7912581250000001,Guinea,0.515329375,0.7912581250000001,0.515329375
N/A,Croatia,0.6472250000000002,Armenia,0.6062750000000001,0.6472250000000002,0.6062750000000001
N/A,North Macedonia,0.5634062500000001,Slovenia,0.49871875,0.5634062500000001,0.49871875
N/A,Poland,0.5305124999999999,Russia,0.5532375,0.5305124999999999,0.5532375
N/A,Slovakia,0.600325,Bulgaria,0.4081749999999999,0.600325,0.4081749999999999
